product_no,price
p1,319.31
p2,636.21
p3,74.22
p4,228.68
p5,239.92
p6,917.68
p7,227.36
p8,377.72
p9,377.55
p10,308.23
p11,691.03
p12,780.03
p13,133.19
p14,632.13
p15,831.08
p16,140.20
p17,730.82
p18,607.99
p19,410.76
p20,222.07
p21,443.85
p22,948.97
p23,388.27
p24,640.20
p25,178.66
p26,488.09
p27,913.48
p28,490.96
p29,866.99
p30,459.74
p31,966.99
p32,342.60
p33,403.66
p34,617.21
p35,189.73
p36,914.85
p37,982.93
p38,807.14
p39,220.27
p40,513.97
p41,40.25
p42,136.62
p43,454.63
p44,919.26
p45,102.69
p46,300.79
p47,564.40
p48,651.84
p49,535.66
p50,905.39
p51,93.68
p52,410.96
p53,270.30
p54,913.73
p55,63.14
p56,900.47
p57,660.87
p58,69.59
p59,290.92
p60,448.17
p61,420.44
p62,717.50
p63,643.90
p64,691.22
p65,366.83
p66,215.31
p67,788.44
p68,693.84
p69,750.91
p70,420.38
p71,14.80
p72,433.42
p73,531.63
p74,218.89
p75,114.19
p76,396.16
p77,582.04
p78,120.20
p79,405.43
p80,826.87
p81,518.10
p82,635.95
p83,500.57
p84,951.46
p85,831.69
p86,234.38
p87,67.96
p88,263.38
p89,432.13
p90,239.95
p91,168.75
p92,508.08
p93,697.62
p94,23.31
p95,346.56
p96,28.13
p97,67.87
p98,31.21
p99,438.19
p100,482.29
p101,141.48
p102,960.70
p103,415.75
p104,633.81
p105,498.53
p106,323.74
p107,321.20
p108,846.55
p109,134.17
p110,405.99
p111,718.22
p112,135.85
p113,387.13
p114,794.09
p115,365.12
p116,739.85
p117,480.55
p118,637.81
p119,633.97
p120,654.25
p121,200.89
p122,796.55
p123,901.71
p124,521.40
p125,515.24
p126,907.18
p127,438.83
p128,814.14
p129,170.99
p130,495.43
p131,80.02
p132,350.19
p133,892.50
p134,18.13
p135,321.88
p136,118.99
p137,901.81
p138,313.94
p139,262.80
p140,841.54
p141,81.49
p142,478.68
p143,926.42
p144,81.21
p145,296.71
p146,452.68
p147,898.43
p148,160.86
p149,682.46
p150,857.55
p151,776.00
p152,40.84
p153,201.56
p154,789.56
p155,672.99
p156,315.12
p157,937.90
p158,207.91
p159,851.95
p160,521.14
p161,270.02
p162,897.99
p163,998.36
p164,575.86
p165,102.43
p166,609.60
p167,518.18
p168,50.68
p169,787.63
p170,499.04
p171,416.23
p172,392.50
p173,497.93
p174,61.00
p175,538.56
p176,644.30
p177,670.45
p178,950.01
p179,529.12
p180,695.90
p181,608.19
p182,386.47
p183,638.01
p184,353.12
p185,546.05
p186,894.03
p187,32.32
p188,260.84
p189,37.17
p190,362.19
p191,959.37
p192,102.40
p193,551.64
p194,469.28
p195,158.80
p196,479.97
p197,74.22
p198,250.41
p199,997.32
p200,12.85
p201,411.64
p202,172.36
p203,84.15
p204,78.91
p205,751.00
p206,647.18
p207,760.76
p208,867.66
p209,292.78
p210,453.50
p211,187.66
p212,426.04
p213,47.55
p214,530.47
p215,145.68
p216,946.97
p217,581.38
p218,16.22
p219,264.95
p220,518.69
p221,931.41
p222,202.74
p223,397.77
p224,962.59
p225,176.66
p226,336.98
p227,219.67
p228,265.40
p229,604.08
p230,967.47
p231,188.89
p232,181.99
p233,122.50
p234,434.11
p235,620.73
p236,312.00
p237,296.92
p238,591.67
p239,705.20
p240,893.70
p241,88.96
p242,589.04
p243,409.48
p244,855.93
p245,269.00
p246,383.92
p247,634.03
p248,884.21
p249,199.03
p250,568.18
p251,315.70
p252,719.46
p253,455.55
p254,112.14
p255,974.36
p256,491.04
p257,618.07
p258,653.30
p259,305.62
p260,916.19
p261,634.44
p262,428.83
p263,788.17
p264,658.08
p265,589.65
p266,590.20
p267,878.14
p268,745.17
p269,162.67
p270,766.22
p271,695.73
p272,711.05
p273,866.31
p274,425.71
p275,724.62
p276,188.04
p277,218.86
p278,293.30
p279,184.18
p280,669.62
p281,756.00
p282,182.58
p283,756.35
p284,499.76
p285,947.02
p286,795.01
p287,150.09
p288,107.37
p289,176.51
p290,118.93
p291,586.31
p292,240.84
p293,391.31
p294,583.81
p295,137.64
